"","name","address","type","lat","lng"
"252","Tiger Falls","Dalat & Around","Other",46.4038889,-87.5755556
"253","Immaculate Conception Cathedral","Kon Tum","Religious",35.125844,25.9024981
"254","Lang Dinh An","Dalat & Around","Other",20.7840103,16.5073215
"255","Cholon Jamail Mosque","Ho Chi Minh City","Religious",NA,NA
"256","To Mieu Temple","Hue","Religious",NA,NA
"257","Beach","Cham Islands","Beaches, Islands & Waterfronts",35.7057013,46.9234775
"258","Con Thien Firebase","Demilitarised Zone (Dmz)","Historic",NA,NA
"259","Duyen Hai","Can Gio","Neighbourhoods & Villages",9.6356978,106.50538
"260","Ton Duc Thang Museum","Ho Chi Minh City","Museums & Galleries",10.7773988,106.7063976
"261","Vietnamese Women’s Museum","Hanoi","Museums & Galleries",NA,NA
"262","Presidential Palace","Hanoi","Architecture",NA,NA
"263","Museum of Trading Ceramics","Hoi An","Museums & Galleries",NA,NA
"264","Khmer Museum","Soc Trang","Museums & Galleries",NA,NA
"265","Assembly Hall of the Chaozhou Chinese Congregation","Hoi An","Architecture",NA,NA
"266","Con Dao Museum","Con Dao Islands","Other",NA,NA
"267","Phat Lon Pagoda","Rach Gia","Religious",NA,NA
"268","Ben Hai River","Demilitarised Zone (Dmz)","Lakes, Rivers & Waterfalls",17.0069431,107.0535743
"269","Chuc Thanh Pagoda","Hoi An","Religious",NA,NA
"270","Group C","My Son","Religious",38.7349514,39.6185587
"271","Museum of Traditional Vietnamese Medicine","Ho Chi Minh City","Museums & Galleries",10.7761634,106.6719134
"272","Cuc Phuong National Park","Cuc Phuong National Park","Parks & Gardens",20.3166667,105.6083333
"273","Mubarak Mosque","Chau Doc","Religious",NA,NA
"274","Nam Thien Nhat Tru","Around Ho Chi Minh City","Other",NA,NA
"275","Gia Long Falls","South-West Highlands","Other",NA,NA
"276","Cua Lo Beach","Vinh","Other",NA,NA
"277","Vung Bau, Dai & Thom Beaches","Phu Quoc Island","Beaches, Islands & Waterfronts",NA,NA
"278","Bay Canh","Con Dao Islands","Beaches, Islands & Waterfronts",8.6689731,106.6733441
"279","Lighthouse","Vung Tau","Landmarks & Monuments",29.8781348,29.3679264
"280","Cau Castle","Phu Quoc Island","Religious",NA,NA
"281","Cemeteries","Dien Bien Phu","Military",29.982343,29.982833
"282","Botanic Gardens","Ho Chi Minh City","Parks & Gardens",40.670343,1.322519
"283","Co Ha Gardens","Hue","Parks & Gardens",37.1414756,33.2204322
"284","Quan Thang House","Hoi An","Architecture",NA,NA
"285","Bai Dram Trau","Con Dao Islands","Beaches, Islands & Waterfronts",8.7335652,106.6224217
"286","Bao Quoc Pagoda","Hue","Religious",16.4542212,107.579788
"287","Sapa Museum","Sapa","Museums & Galleries",NA,NA
"288","Long Xuyen Catholic Church","Long Xuyen","Religious",NA,NA
"289","Ethnographic Museum","South-West Highlands","Museums & Galleries",NA,NA
"290","Cuong Hoan Traditional Silk Centre","Dalat & Around","Museums & Galleries",NA,NA
"291","National Oceanographic Museum","Nha Trang","Museums & Galleries",NA,12.2189817
"292","Victory Monument","Buon Ma Thuot","Landmarks & Monuments",13.764934,46.5005477
"293","Assembly Hall","Hoi An","Other",39.1808699,-86.5222284
"294","Soc Trang Museum","Soc Trang","Museums & Galleries",NA,NA
"295","Truong San Residence","Hue","Castles, Palaces & Mansions",24.4560192,25.962206
"296","Xuan Huong Lake","Dalat","Lakes, Rivers & Waterfalls",11.9411106,108.4461507
"297","Seminary & Hill-Tribe Museum","Kon Tum","Museums & Galleries",31.5623892,-89.4975669
"298","Handicraft Workshop","Hoi An","Farms, Workshops & Factories",NA,NA
"299","Lam Dong Museum","Dalat","Museums & Galleries",11.9409803,108.4596121
"300","People’s Committee Building","Ho Chi Minh City","Architecture",24.509174,NA
"301","Can Tho Museum","Can Tho","Museums & Galleries",10.0351667,NA
"302","Vien Minh Pagoda","Ben Tre","Architecture",NA,NA
"303","Po Shanu Cham Towers","Mui Ne","Religious",NA,NA
"304","Quan Thanh Temple","Hanoi","Religious",NA,NA
"305","Camp Carroll","Demilitarised Zone (Dmz)","Historic",NA,31.9642887
"306","Ba Le Well","Hoi An","Landmarks & Monuments",15.8786975,108.3301279
"307","Buu Long Mountain","Around Ho Chi Minh City","Other",NA,NA
"308","Chau Phu Temple","Chau Doc","Religious",27.2621089,115.7779579
"309","Hang Pagoda","Tra Vinh","Religious",30.2611828,22.4420501
"310","Dong Thap Museum","Cao Lanh","Museums & Galleries",NA,NA
"311","White Villa","Vung Tau","Museums & Galleries",38.8792317,-34.6440659
"312","30 Thang 4 Park","Chau Doc","Parks & Gardens",9.6025706,105.9743026
"313","Bau Truc Village","Phan Rang & Thap Cham","Neighbourhoods & Villages",NA,NA
"314","Ambassadors’ Pagoda","Hanoi","Religious",NA,NA
"315","An Quang Pagoda","Ho Chi Minh City","Other",33.7511039,NA
"316","My Son","My Son","Religious",NA,NA
"317","Du Hang Pagoda","Haiphong","Religious",NA,NA
"318","Saigon Race Track","Ho Chi Minh City","Sporting Venues",NA,NA
"319","Lenin Park","Hanoi","Other",NA,38.5777821
"320","Royal Theatre","Hue","Architecture",NA,53.961677
"321","Ba Be National Park","Ba Be National Park","Parks & Gardens",22.4112376,105.6060661
"322","Thuy Son","Marble Mountains","Natural Landmarks",21.0070371,16.004277
"323","Khanh Hoa Museum","Nha Trang","Museums & Galleries",12.2499,109.196
"324","Tomb of Dong Khanh","Around Hue","Cemeteries, Memorials & Tombs",NA,NA
"325","Banh It Cham Towers","Cha Ban Cham Area","Architecture",NA,NA
"326","Dam Doi Bird Sanctuary","Mekong Delta","Other",17.9043215,98.6160674
"327","Tombs of Spanish and French Soldiers","Around Danang","Other",NA,NA
"328","Ngu Phung","Hue","Landmarks & Monuments",10.5313904,108.9353663
"329","Emperor's Reading Room","Hue","Architecture",NA,NA
"330","Truc Bach Lake","Hanoi","Lakes, Rivers & Waterfalls",21.0455322,NA
"331","Linh Phuoc Pagoda","Dalat & Around","Other",NA,NA
"332","Cua Can Beach","Phu Quoc Island","Beaches, Islands & Waterfronts",NA,NA
"333","Ham Ho","Ham Ho Nature Reserve","Parks & Gardens",NA,-90.6506073
"334","Opera House","Ho Chi Minh City","Theatres, Concert Halls & Cinemas",NA,21.1957319
"335","San Art","Ho Chi Minh City","Museums & Galleries",NA,37.3336817
"336","Truc Lam Pagoda","Dalat & Around","Other",10.7643715,20.3785433
"337","Craft Markets","Son La","Markets & Bazaars",40.6894828,-73.9733481
"338","Dray Sap & Dray Nur Falls","Dray Sap & Dray Nur Falls","Lakes, Rivers & Waterfalls",12.5843164,107.9746652
"339","Son My Memorial","Son My (My Lai)","Military",15.18,108.886389
"340","Assembly Hall of the Hainan Chinese Congregation","Hoi An","Architecture",NA,NA
"341","Ho Chi Minh Museum","Pleiku","Museums & Galleries",21.0356034,10.7682712
"342","Long Thanh Gallery","Nha Trang","Museums & Galleries",40.7711119,-73.9856544
"343","Ho Chi Minh Museum","Danang","Museums & Galleries",21.0356034,NA
"344","Tran Quoc Pagoda","Hanoi","Religious",NA,NA
"345","Nha Tu Phu Quoc","Phu Quoc Island","Landmarks & Monuments",10.0434889,NA
"346","Old Town","Hoi An","Neighbourhoods & Villages",NA,55.6520814
"347","Vam Sat","Can Gio","Parks & Gardens",NA,106.7670518
"348","Datanla Falls","Dalat & Around","Lakes, Rivers & Waterfalls",NA,NA
"349","Danang Cathedral","Danang","Religious",NA,108.2198893
"350","Tay Ho Pagoda","Hanoi","Religious",30.2611828,120.1480934
"351","Chien Dan","Chien Dan","Architecture",15.615432,24.987868
"352","Endangered Primate Rescue Center","Cuc Phuong National Park","Natural Parks & Forests",NA,NA
"353","Cho Quan Church","Ho Chi Minh City","Religious",10.7572477,106.6815431
"354","Bamboo Lagoon","Con Dao Islands","Other",28.2424761,-82.7037729
"355","Bai Tu Long National Park","Halong Bay","Other",36.4566598,114.0904246
"356","Yok Don National Park","Yok Don National Park","Parks & Gardens",12.7021524,NA
"357","Hung Vuong Roundabout","Soc Trang","Landmarks & Monuments",20.8559056,NA
"358","Coconut Tree Prison","Phu Quoc Island","Cemeteries, Memorials & Tombs",NA,NA
"359","Crocodile Swamp","Cat Tien National Park","Lakes, Rivers & Waterfalls",NA,NA
"360","Diep Dong Nguyen House","Hoi An","Architecture",NA,NA
"361","National School","Hue","Architecture",NA,25.0105741
"362","Tomb of Gia Long","Around Hue","Cemeteries, Memorials & Tombs",NA,NA
"363","Ban Gioc Waterfall","Ban Gioc Waterfall & Nguom Ngao Cave","Lakes, Rivers & Waterfalls",NA,106.7231011
"364","Co Loa Citadel","Co Loa Citadel","Historic",NA,105.8701316
"365","Assembly Hall of the Cantonese Chinese Congregation","Hoi An","Architecture",NA,NA
"366","Ong Dung Bay","Con Dao Islands","Beaches, Islands & Waterfronts",NA,NA
"367","Museum of Sa Huynh Culture & Museum of the Revolution","Hoi An","Museums & Galleries",15.8247118,15.7629992
"368","Dalat Cathedral","Dalat","Architecture",11.9404192,108.4583132
"369","Museum of Folklore in Hoi An","Hoi An","Museums & Galleries",15.8800584,108.3380469
"370","Ma Thien Lanh Bridge","Con Dao Islands","Architecture",21.0603835,11.3941395
"371","Van Lan","Tam Coc","Neighbourhoods & Villages",20.7281601,NA
"372","Bai Bau","Bai Bau Beach","Beaches, Islands & Waterfronts",13.6651097,NA
"373","Munirensay Pagoda","Can Tho","Religious",NA,NA
"374","My An & Non Nuoc","China Beach","Beaches, Islands & Waterfronts",34.274247,NA
"375","Mr De’s Foundry","Hue","Other",NA,NA
"376","The Rockpile","Demilitarised Zone (Dmz)","Historic",NA,-105.5252806
"377","Waterfalls","Dalat & Around","Lakes, Rivers & Waterfalls",NA,-20.253897
"378","Linh Son Pagoda","Dalat","Architecture",NA,10.8719871
"379","Bai Loi Voi","Con Dao Islands","Beaches, Islands & Waterfronts",NA,NA
"380","Coc Ly Market","Bac Ha","Markets & Bazaars",NA,NA
"381","Turtle Conservation Center","Cuc Phuong National Park","Natural Parks & Forests",11.5478159,-8.7243383
"382","General Museum Complex","Hue","Museums & Galleries",12.9674998,77.602778
"383","Dalat Flower Gardens","Dalat","Parks & Gardens",37.7423254,-122.4051808
"384","Xo Viet Nghe Tinh Museum","Vinh","Museums & Galleries",10.8024976,18.4530817
"385","Muong Thanh Bridge","Dien Bien Phu","Architecture",21.3869,NA
"386","Ca Mau Market","Ca Mau","Markets & Bazaars",36.778261,NA
"387","Lung Phin Market","Bac Ha","Markets & Bazaars",NA,NA
"388","My Son Museum","My Son","Museums & Galleries",20.0157193,110.3786602
"389","Phung Hung Old House","Hoi An","Architecture",NA,NA
"390","Citadel","Vinh","Other",NA,39.01585
"391","Cathedral","North-Central Vietnam","Other",NA,42.3593989
"392","Coi Nguon Museum","Phu Quoc Island","Museums & Galleries",NA,NA
"393","Tomb of Thieu Tri","Around Hue","Cemeteries, Memorials & Tombs",NA,NA
"394","Ho Chi Minh Museum","Hue","Museums & Galleries",NA,10.7682712
"395","Leper Hospital Grounds","Quy Nhon","Other",12.9745554,12.9378453
"396","Cho Moi","Long Xuyen","Neighbourhoods & Villages",21.8809712,105.7791327
"397","Dambri Falls","Bao Loc","Lakes, Rivers & Waterfalls",NA,NA
"398","Mai Loc Gallery","Nha Trang","Museums & Galleries",NA,NA
"399","Galerie Quynh","Ho Chi Minh City","Museums & Galleries",NA,NA
"400","Khem Beach","Phu Quoc Island","Beaches, Islands & Waterfronts",10.0333333,10.0303272
"401","Hoi An Museum of History & Culture","Hoi An","Museums & Galleries",15.8800584,108.3380469
"402","Phac Hat Pagoda","Hoi An","Religious",NA,NA
"403","Dam Wall","Hoa Binh","Landmarks & Monuments",-25.6937258,-18.1833561
"404","Ben Tre Museum","Ben Tre","Museums & Galleries",NA,NA
"405","Do Dien Khanh Gallery","Nha Trang","Museums & Galleries",NA,NA
"406","Tran Hung Dao Temple","Ho Chi Minh City","Religious",NA,106.6947368
"407","Bo Bla Waterfall","South-West Highlands","Other",NA,NA
"408","Dakrong Bridge","Demilitarised Zone (Dmz)","Architecture",NA,NA
"409","Den Kiep Bac","Northeast Vietnam","Other",NA,106.3274323
"410","Lookout Tower","Son La","Landmarks & Monuments",40.23036,NA
"411","Chua Dat Set","Soc Trang","Other",10.9410291,NA
"412","Statue of Me Suot","Dong Hoi","Other",NA,NA
"413","Kien Giang Museum","Rach Gia","Museums & Galleries",10.0351667,NA
"414","Khmer Minority People’s Museum","Tra Vinh","Museums & Galleries",NA,NA
"415","My Tho Market","My Tho","Markets & Bazaars",10.3765284,106.3438891
"416","Night Market","Lang Son","Markets & Bazaars",-39.6420409,16.8098753
"417","Ong Met Pagoda","Tra Vinh","Architecture",NA,NA
"418","Ong Lan Beach","Phu Quoc Island","Beaches, Islands & Waterfronts",NA,NA
"419","Tang Tau Lake","Hue","Lakes, Rivers & Waterfalls",39.947713,39.925598
"420","Stone monument","Vinh","Other",NA,35.9572249
"421","Thu Thien","South-East Coast","Other",NA,13.8857453
"422","Cable-Car Station","Dalat & Around","Other",NA,36.1328525
"423","Research Library","Ho Chi Minh City","Other",NA,37.3825996
"424","Tre Lon","Con Dao Islands","Beaches, Islands & Waterfronts",8.7081257,10.25
"425","Phap Lam Pagoda","Danang","Religious",NA,NA
"426","Tu Ton Rose Garden","Sa Dec","Other",NA,NA
"427","Cao Dai Temple","Sa Dec","Religious",9.9679141,NA
"428","Ankroët Falls","Dalat & Around","Lakes, Rivers & Waterfalls",NA,NA
"429","Museum","Hoa Binh","Museums & Galleries",55.3998313,35.1722517
"430","Tam An Pagoda","Quy Nhon","Religious",NA,NA
"431","Cam Pho Temple","Hoi An","Architecture",15.8782019,108.3239046
"432","Vong Beach","Phu Quoc Island","Beaches, Islands & Waterfronts",33.7700504,40.5884373
"433","Canh Tien","South-East Coast","Other",15.6259358,13.9245806
"434","Gia Lai Museum","Pleiku","Other",NA,108.0059644
"435","Bai An Hai","Con Dao Islands","Beaches, Islands & Waterfronts",NA,31.3189145
"436","Thai Giang Pho Waterfall","Bac Ha","Lakes, Rivers & Waterfalls",NA,NA
"437","Gougah Falls","Dalat & Around","Lakes, Rivers & Waterfalls",NA,NA
"438","Dong Xuan Market","Hanoi","Other",NA,NA
"439","Cao Dai Temple","Ca Mau","Religious",9.9679141,NA
"440","Bao Tang Quang Tri","Dong Ha","Museums & Galleries",17.0844352,NA
"441","Sapa Radio Tower","Sapa","Architecture",NA,NA
"442","Hoa Binh Museum","Hoa Binh","Other",39.1276663,39.1275713
"443","Buu Quang Pagoda","Sa Dec","Religious",10.7440934,106.6492656
"444","Quang Cong Pagoda","Phan Rang & Thap Cham","Architecture",NA,NA
"445","Ho Chi Minh Museum","Hang Pac Bo (Water-Wheel Cave)","Other",21.0356034,10.7682712
"446","Navy Museum","Haiphong","Museums & Galleries",-36.8289084,13.6096956
"447","Cao Dai Temple","Rach Gia","Religious",9.9679141,11.8337331
"448","Couvent des Oiseaux","Dalat","Other",50.5425631,3.4185946
"449","Phu Loc","Central Vietnam","Other",NA,107.8643107
"450","Binh Lam","South-East Coast","Other",NA,24.9350844
"451","Cao Dai Temple","My Tho","Religious",NA,11.8337331
"452","Quang Duc Gate","Hue","Landmarks & Monuments",16.4656936,NA
"453","Nine Holy Cannons","Hue","Other",42.4281,NA
"454","Nhi Thanh Cave","Lang Son","Natural Landmarks",NA,NA
"455","Can Chanh Palace","Hue","Historic",NA,NA
"456","Con Son Pagoda","Con Son & Den Kiep Bac","Religious",25.0289885,25.0289475
"457","Duong Dong Market","Phu Quoc Island","Markets & Bazaars",21.871809,112.002914
"458","Vuong Palace","From Tam Son to Dong Van","Architecture",22.342159,22.3420275
"459","Thai Binh Market","Ho Chi Minh City","Markets & Bazaars",36.2868349,36.286489
"460","Vinh’s Citadel Left Gate","Vinh","Landmarks & Monuments",NA,NA
"461","U-Minh Forest","U-Minh Forest","Natural Parks & Forests",9.6166667,105.1833333
"462","Uncle Ho Museum","Hang Pac Bo (Water-Wheel Cave)","Museums & Galleries",NA,NA
"463","Tien Son Cave","Phong Nha-Ke Bang National Park","Other",NA,117.981532
"464","Tam Thanh Cave","Lang Son","Natural Landmarks",NA,NA
"465","Ke Ga Lighthouse","South-East Coast","Landmarks & Monuments",NA,NA
"466","Nine Holy Cannons","Hue","Other",NA,NA
"467","Ngan Gate","Hue","Landmarks & Monuments",22.3143652,NA
"468","One Pillar Pagoda of Thu Duc","One Pillar Pagoda","Religious",NA,NA
"469","Vinh’s Citadel Front Gate","Vinh","Landmarks & Monuments",NA,NA
"470","Dien Bien Phu Cemetery","Dien Bien Phu","Military",NA,NA
"471","Suoi Tranh","Phu Quoc Island","Lakes, Rivers & Waterfalls",10.1785347,104.0136623
"472","Thung Nham","Ninh Binh Province","Lakes, Rivers & Waterfalls",20.218318,105.8924586
"473","Ba Na","Ba Na Hill Station","Parks & Gardens",32.754307,30.118839
"474","Crescent","Ho Chi Minh City","Beaches, Islands & Waterfronts",42.591184,53.4837852
"475","Tourist Train","Cat Ba Island","Other",32.6480732,24.5553027
"476","Cat Cat","Sapa","Neighbourhoods & Villages",22.3291628,39.6129898
"477","Chua Bai Dinh","Ninh Binh Province","Religious",NA,105.8649934
"478","Fairy Spring","Around Nha Trang","Other",NA,42.8538904
"479","Dai Beach","Phu Quoc Island","Beaches, Islands & Waterfronts",NA,12.8207158
"480","Chapel","Nui Son Tra (Monkey Mountain)","Religious",46.0534046,NA
"481","Hon Mieu Aquarium","Nha Trang","Nature & Wildlife",NA,NA
"482","Kiep Bac Temple","Con Son & Den Kiep Bac","Religious",NA,NA
"483","Linh Ung","Nui Son Tra (Monkey Mountain)","Landmarks & Monuments",20.9897927,10.8862381
"484","Mui Nai","Mui Nai","Beaches, Islands & Waterfronts",10.36569,12.9
"485","War Memorial","Cao Bang","Landmarks & Monuments",39.282563,38.8726674
"486","Vung Bau Beach","Phu Quoc Island","Beaches, Islands & Waterfronts",NA,NA
"487","Duyen Hai War Memorial","Can Gio","Military",NA,NA
"488","Pilgrimage Spots","Kim Lien","Historic",NA,NA
"489","Sanctuary","Phoenix Island","Historic",32.9087367,-97.584191
"490","Thom Beach","Phu Quoc Island","Beaches, Islands & Waterfronts",NA,103.7364288
"491","Night Market","Ha Tien","Markets & Bazaars",NA,16.8098753
"492","Night Market","Con Dao Islands","Markets & Bazaars",NA,16.8098753
"493","French War Memorial","Dien Bien Phu","Military",NA,NA
"494","Fish Market","Dong Hoi","Markets & Bazaars",22.6932916,NA
"495","Tam Toa Church","Dong Hoi","Religious",NA,NA
"496","Thai To Mieu Temple Complex","Hue","Other",NA,NA
"497","University of Arts","Hue","Architecture",41.317805,39.945969
"498","Vinh’s Citadel Right Gate","Vinh","Landmarks & Monuments",NA,NA
"499","Ta Phin Village","Sapa","Neighbourhoods & Villages",17.4491298,17.4536715
"500","Trang An","Ninh Binh Province","Natural Landmarks",20.2827224,20.2594745
"501","Phong Nha-Ke Bang National Park","Phong Nha-Ke Bang National Park","Parks & Gardens",17.5431265,106.1448275
"502","Dolphin","Vung Tau","Other",42.6737639,42.3417962
"503","Ho Chi Minh Statue","Pleiku","Landmarks & Monuments",20.8093339,105.3321695
